Page,Preview,Voice,Voice Score,Tone,Tone Score,Form,Form Score
72,Of course I was sorry to say good-bye to old Medehamstede ; but it was pleasant to sit down and to r...,1st person,0.323,regretful,0.624,narrative,0.471
73,"All the artist in me flared up. After all, my given name was world-famous as the inherited one of a ...",1st person,0.303,witty,0.516,aphorism,0.464
74,"photographs of young and laughing athletes, lads who had profited and gone on, and ringing with thos...",1st person,0.321,neutral,0.456,aphorism,0.378
75,I saw to it that I should be for a moment alone among the marigolds. Thinking kindly of those two ot...,1st person,0.386,suspenseful,0.575,narrative,0.262
76,"Looking over at the sly sideways smile which seemed to fill all the foreground opposite me, I could ...",omniscient,0.37,suspenseful,0.384,aphorism,0.451
77,"Compact, they call it ; but when I used it, I was feeling anything but so. Don’t think me squeamish ...",3rd person,0.332,regretful,0.516,confession,0.645
78,Then there disappeared the last rose flivers of the Prussian beast. He had died to stay this mimic a...,omniscient,0.39,suspenseful,0.519,narrative,0.358
79,"It was that day my friend Sandy told me he was sure he wouldn’t sleep all night. There was, of cours...",3rd person,0.336,suspenseful,0.548,narrative,0.284
80,"Hospitality, when I came to consider it, was indeed a funny thing. I wanted to do my best for this h...",1st person,0.401,witty,0.441,confession,0.263
81,"The victim, for that I must now reluctantly call him, blocked all the sweet air from the window. He ...",3rd person,0.355,regretful,0.52,aphorism,0.261
82,"I forgot why I was sitting and staring at the table. I felt battered. What could the batter be? Ah, ...",3rd person,0.503,suspenseful,0.441,confession,0.297
83,"A flower-seller, fed ruddily, it seemed, on hope, broke in and would have made a round of all of us....",3rd person,0.34,suspenseful,0.317,narrative,0.27
84,I wish she would tell me more. I wish she would give me some hint as to why the deceased wished us t...,1st person,0.347,suspenseful,0.52,narrative,0.299
85,"I was true to time. I had, it occurred to me, been something of an automaton. But wasn’t I thrusting...",3rd person,0.289,regretful,0.387,narrative,0.291
86,Next day I let Caroline Jasmine---what a name!---do her very damnedest for my guest. But I was doubt...,3rd person,0.343,regretful,0.364,aphorism,0.365
87,"Of the old bold mate of Henry Morgan.    My guest has, I think, a Byzantine beauty, as of a golden s...",3rd person,0.388,suspenseful,0.627,narrative,0.32
88,"I always liked to listen to him. It was St. Wigbert’s day, I was told, and Augustus, I remembered, w...",dialogue,0.355,suspenseful,0.424,dialogue,0.29
89,The ancient had then sat down among the heather to a great dish of brown and swimming collops. Perso...,3rd person,0.372,regretful,0.547,narrative,0.301
90,"While my mind had been thus far away, a grotesque looking old gentleman had fluttered like a bat to ...",omniscient,0.293,suspenseful,0.434,aphorism,0.288
91,In my youth I had been worried that I bore the same name as Newbolt’s admiral and Shakespeare’s serg...,3rd person,0.686,suspenseful,0.525,narrative,0.321
92,"My earlier days had been so different. There hadn’t been the comfort, the sense of indulgence, or of...",3rd person,0.316,suspenseful,0.405,narrative,0.261
93,"And pipes for closets all over, and cutting the frames                 too light,         But M’Cull...",3rd person,0.333,suspenseful,0.373,aphorism,0.334
94,Naturally I looked up. And I tell you I found it awe-inspiring enough to actually see my own name th...,3rd person,0.327,suspenseful,0.361,narrative,0.275
95,"I knew, of course, that if I got there in five minutes I would have double the time for my by no mea...",omniscient,0.313,suspenseful,0.398,narrative,0.336
96,"Now I think I will try a cup of what they insolently call Golden Tips, a find young Tippy Tea. And t...",omniscient,0.38,regretful,0.488,narrative,0.334
97,To have slept and to wake right up surrounded by an atmosphere in which Bunny and Perry went at it h...,dialogue,0.41,suspenseful,0.339,aphorism,0.468
98,He stood and looked down at me ; but I was not to be hurried. The money changed hands slowly ; for I...,3rd person,0.313,suspenseful,0.5,narrative,0.286
99,"And she wore a mauve love-knot on her breast, and the ends were unequal. He said he’d put that right...",3rd person,0.3,regretful,0.558,narrative,0.352
100,"I dimly guess why the old dead so wanted this. I had worked for him, Henry had worked for him. If I ...",3rd person,0.277,regretful,0.62,narrative,0.259
