Page,Preview,Entities,Cluster
39,"She said it didn’t matter what they had done, because she was still an M.D., and she’d got another o...","['M.D.', 'Combe']",3
40,"What chemistry! That the winds are really not infectious. Now that I was approaching journey’s end, ...","['Flecker’s', 'Jack', 'Thornhill', 'Eric Parker', 'Irishman']",3
41,"And then with horrid clearness I had seen a woman---not actually, if I could trust myself, there ; b...","['England', 'Henry', 'Charles Goodfellow', 'Bat', 'Selfridget', 'Henry', 'Brussels', 'Utrecht', 'Social Hall']",0
42,"Just broken to twine round they harp-strings, as if                 no wild beat         Were now ra...","['Henry', 'Julienne', 'Henry']",4
43,This is good. She accepts Lover’s Delight from me. She has spoken very little ; but she urges me to ...,"['Lover’s Delight', 'Alexander', 'Aquarius', 'Gemini', 'King’s Cross', 'Edinburgh']",5
44,"I sometimes wish, and I wished then, that I had the gift of telling, or at least of following, a sto...","['Hodge', 'St. Bruno', 'Henry’s', 'Vera Cruz', 'Henry', 'Henry']",2
45,"It was when that half Pole, half Frenchman, and usually up the first half, that self-styled drunken ...","['Frenchman', 'Hélène', 'Henry', 'Epicam', 'Royans', 'Peter Barleys', 'Villacabras']",3
46,"In one way, of course, I was glad they were married. I had always been rather a stickler for purity ...","['Maltese', 'Hal', 'Tom', 'Jasmine', 'England']",3
47,"Babs now moves across the vision, crowned with two straight downfalls, as it were, of copper upon he...","['England', 'Henry', 'Orange Pekoe']",3
48,"I had always thought that Tate essentially meant sugar. This I liked almost next to anything, though...","['Tate', 'Crataegus Oxyacantha']",3
49,"I always feel a bit dazed on these occasions, and was so then. But it was pleasant to collect onesel...",['Henry'],3
50,"The swallow, the bright Homonoea.    I wondered if I should succeed in hurting the girl. But think o...","['Chesterton', 'Camoens']",2
51,"As I was not staying, but only passing through, I raised my hat to the eleven that played All Englan...",[],5
52,The cardinal was acquitted to-day of all complicity in the affair of the Queen’s diamond necklace. H...,"['Queen', 'Westphalian']",1
53,"So far the mind had been ambling, if I may dare the expression ; moving forward ungainly, as if by o...",['Paul Trinder'],4
54,"I was feeling about as good as man could feel that day. Everything horticultural, in the awful and l...","['Miss Doncaster', 'Nestor', 'Waterloo']",3
55,"The picture of the Old Mill at Bramley, with its medlar tree overhanging the water, its octagonal br...","['Bramley', 'James', 'Earl', 'Alexander', 'venetian red', 'tenuous?---a']",5
56,"It was just when the girl from the Asolo silk mills contended that morning was. There was something,...","['Larkin', 'Larkin', 'Clare', 'I. For', 'Pippa']",2
57,It seemed from what I heard that Felton’s meat had been delivered at Brookesley for the first time t...,"['Felton', 'Brookesley', 'Ben', 'Felton', 'Westphalian', 'Hilary', 'Amazon', 'Stella Polaris', 'Voltaire', 'the City of Nagpur', 'Vandyck', 'Armadale Castle', 'South Africa']",3
58,"Considering it was my name month, I wasn’t having too much luck. Henry, though a bit on the spectacu...","['Henry', 'Freudian', 'Henry', 'Barraclough', 'Browning']",3
59,What was it I held in my fingers? Looked at in one way it could just be a kea. I would give the bird...,"['Gelsemium', 'Xenocrate']",5
60,I had sufficient knowledge to realise that I had succeeded. I ordered Charles to spare no expense in...,"['Charles', 'Sundae', 'Lover’s Delight', 'Francis Ferdinand’s', 'Henry']",5
61,"I had always been proud of my namesake, the Great Lexicographer, as we, not unnaturally, called him ...","['Colney Hatch', 'Broadmoor', 'Dartmoor', 'Broad', 'William the', 'Schoolman', 'Rysbrach', 'Invincibilis', 'Bill', 'Dickens']",2
62,"What should such a man need with such a companion, I asked myself. And then I thought of Jim’s uncle...","['Jim’s', 'Darius Brockley', 'the Major-General', 'Guy Fawkes']",3
63,"I cannot help, even with this supreme distraction, thinking of my Babbie’s---dare I say my Babbie’s-...","['Henry', 'Henry’s', 'Rainbow']",4
64,Needless to say I didn’t know that that was the last day. Afterwards I found it terrible to look bac...,"['Bellerophon', 'Lotus']",3
65,"I started to read Hardy’s exquisite production, and every muscle of my brain was enthralled until I ...","['Hardy', 'the Monk Arnulphus', 'Ruth', 'Jack', 'The Monk Arnulphus', 'Jim the Penman']",3
66,"It was neither the sheerest hell nor uttermost heaven thus to affront the dead ; it was rather, sure...","['Head', 'Renaissance', 'Hall']",3
67,"the darker works of Beardsley and Felicien Rops, and ringing with the gloat curses of the Head, as w...","['Beardsley', 'Felicien Rops', 'Whympers', 'Allingham', 'the Land of Mist', 'Chris', 'Palos', 'Helen', 'Poe']",2
68,"Out cascaded the darling young. It was no tragedy ; that was, no tragedy comparable with the fire he...","['Alexander’s Ragtime Wedding Feast', 'Henry', 'Kreisler']",1
69,I came out of my waking dream with temples moist and tongue most damnably dry. I had to believe myse...,['Dutch'],1
70,It flashed through my mind that the place between Eros and the Queen’s Hall had horribly changed sin...,"['Eros', 'Ming', 'Munich', 'Efate']",3
71,"But next day that religious fellow’s head drapery, if I might thus unscientifically express myself, ...","['Spartan', 'Henry', 'Elsie', 'Herebald the Drake']",1
72,Of course I was sorry to say good-bye to old Medehamstede ; but it was pleasant to sit down and to r...,"['Medehamstede', 'Pasquier', 'Pasquier', 'Paris', 'the Rue de la Harpe', 'Savage Conqueror']",1
73,"All the artist in me flared up. After all, my given name was world-famous as the inherited one of a ...","['Hamlet', 'Runymede', 'Tudor', 'the E. V. Lucas']",2
74,"photographs of young and laughing athletes, lads who had profited and gone on, and ringing with thos...","['Goya', 'Leningrad', 'Quasimodo of the Ogpu']",1
75,I saw to it that I should be for a moment alone among the marigolds. Thinking kindly of those two ot...,"['Gerard', 'Calendula', 'ek parergou', 'Indian']",1
76,"Looking over at the sly sideways smile which seemed to fill all the foreground opposite me, I could ...","['Pentarry', 'Quincey', 'scottish', 'Henry']",3
77,"Compact, they call it ; but when I used it, I was feeling anything but so. Don’t think me squeamish ...","['Henry’s', 'Henry', 'Perceval', 'Perceval']",4
78,Then there disappeared the last rose flivers of the Prussian beast. He had died to stay this mimic a...,"['Prussian', 'Henry']",3
79,"It was that day my friend Sandy told me he was sure he wouldn’t sleep all night. There was, of cours...","['Sandy', 'Lagopus Scoticus', 'Sandy', 'Flora', 'Bob Martin']",3
80,"Hospitality, when I came to consider it, was indeed a funny thing. I wanted to do my best for this h...","['Paul', 'Henry', 'Fleming']",1
81,"The victim, for that I must now reluctantly call him, blocked all the sweet air from the window. He ...","['Death', 'Quails and Arty and Fakes', 'Quails', 'Arty']",2
82,"I forgot why I was sitting and staring at the table. I felt battered. What could the batter be? Ah, ...","['Lapsang', 'London', 'Henry', 'the Poet Laureate']",3
83,"A flower-seller, fed ruddily, it seemed, on hope, broke in and would have made a round of all of us....","['fed', 'England', 'Spanish', 'mal de mer', 'Ghent']",1
84,I wish she would tell me more. I wish she would give me some hint as to why the deceased wished us t...,"['Dagenham', 'Barbara']",3
85,"I was true to time. I had, it occurred to me, been something of an automaton. But wasn’t I thrusting...","['Mycroft', 'Kipling', 'Henry’s', 'Henry']",4
86,Next day I let Caroline Jasmine---what a name!---do her very damnedest for my guest. But I was doubt...,"['Caroline Jasmine', 'Henry', 'Mithradates']",3
87,"Of the old bold mate of Henry Morgan.    My guest has, I think, a Byzantine beauty, as of a golden s...","['Henry Morgan', 'Byzantine', 'Gills', 'Henry', 'Woodstock']",4
88,"I always liked to listen to him. It was St. Wigbert’s day, I was told, and Augustus, I remembered, w...","['St. Wigbert’s day', 'Augustus', 'Tate', 'Tom', 'Flora’s Jasmine', 'Dark French Grey']",3
89,The ancient had then sat down among the heather to a great dish of brown and swimming collops. Perso...,['Spey Royal'],3
90,"While my mind had been thus far away, a grotesque looking old gentleman had fluttered like a bat to ...","['Oscar', 'Whistler']",2
91,In my youth I had been worried that I bore the same name as Newbolt’s admiral and Shakespeare’s serg...,"['Newbolt', 'Shakespeare', 'The Blue Rocket', 'Black Museum', 'Charlie', 'Chicago', 'Henry']",3
92,"My earlier days had been so different. There hadn’t been the comfort, the sense of indulgence, or of...","['Devona', 'Henry']",4
93,"And pipes for closets all over, and cutting the frames                 too light,         But M’Cull...","['Tayside Inn', 'Bunny', 'Cambridge']",3
94,Naturally I looked up. And I tell you I found it awe-inspiring enough to actually see my own name th...,"['Henry', 'Anthony', 'Henry']",3
95,"I knew, of course, that if I got there in five minutes I would have double the time for my by no mea...","['John Montagu’s', 'Herbert', 'Haddock', 'Meed', 'Hebe']",3
96,"Now I think I will try a cup of what they insolently call Golden Tips, a find young Tippy Tea. And t...","['Golden Tips', 'Loganberry Kiss', 'Catharine', 'Somerset', 'Jifjaffa', 'Padre', 'the Intimations of Immorality']",3
97,To have slept and to wake right up surrounded by an atmosphere in which Bunny and Perry went at it h...,"['Bunny', 'Dorset', 'Ellen Brine', 'Paris', 'Leonidas', 'Thermopylae', 'Paris', 'John Ayrton', 'Oeuvre ton', 'ton oreille', 'de ma', 'John Ayrton']",3
98,He stood and looked down at me ; but I was not to be hurried. The money changed hands slowly ; for I...,"['Douglas', 'Whom', 'Quarry']",5
99,"And she wore a mauve love-knot on her breast, and the ends were unequal. He said he’d put that right...","['Jasmine', 'Fred’s', 'Potsdam']",3
100,"I dimly guess why the old dead so wanted this. I had worked for him, Henry had worked for him. If I ...","['Henry', 'Henry', 'Scotland Yard', 'Woolworth', 'Kursal', 'Henry', 'Henry']",4
